Id,Label
1,Apple 1 large (242 g/ 8 oz)
2,Avocado California, 1/5 medium (30 g/ 1.1 oz)
3,Banana 1 medium (126 g/ 4.5 oz)
4,Cantaloupe 1/4 medium (134 g/ 4.8 oz)
5,Grapefruit 1/2 medium (154 g/ 5.5 oz)
6,Grapes 3/4 cup (126 g/ 4.5 oz)
7,Honeydew Melon 1/10 medium melon (134 g/ 4.8 oz) 
8,Kiwifruit 2 medium (148 g/ 5.3 oz)
9,Lemon 1 medium (58 g/ 2.1 oz)
10,Lime 1 medium (67 g/ 2.4 oz)
11,Nectarine 1 medium (140 g/ 5.0 oz)
12,Orange 1 medium (154 g/ 5.5 oz)
13,Peach 1 medium (147 g/ 5.3 oz)
14,Pear 1 medium (166 g/ 5.9 oz)
15,Pineapple 2 slices, 3" diameter, 3/4" thick (112 g/4 oz)
16,Plums 2 medium (151 g/ 5.4 oz)
17,Strawberries 8 medium (147 g/ 5.3 oz)
18,Sweet  Cherries 21 cherris; 1 cup (140 g/ 5.0 oz)
19,Tangerine 1 medium (109 g/ 3.9 oz)
20,Watermelon 1/18 medium melon; 2 cups dices pieces (280 g/ 10.0 oz)
